"t1","t2","t3","t4","CF12_34","CF13_24","CF14_23"
"10","12","3","2",0.9966695332597513,0.001665233370124363,0.001665233370124363
"10","11","8","9",0.7788231388305289,0.11058843058473555,0.11058843058473555
"10","12","6","15",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","12","5","6",0.9930349079676076,0.0034825460161961854,0.0034825460161961854
"10","8","4","13",0.8310614780970805,0.05286323301003189,0.11607528889288768
"10","11","6","15",0.9503060260020028,0.02484698699899864,0.02484698699899864
"10","11","1","14",0.91757778746545,0.04121110626727495,0.04121110626727495
"10","7","3","15",0.9765496842960053,0.011725157851997334,0.011725157851997334
"10","11","9","2",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","11","3","9",0.13157823275520963,0.045111761078870896,0.8233100061659195
"10","11","3","13",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","11","13","2",0.18583853627333657,0.12262648039048077,0.6915349833361828
"10","11","1","6",0.9503060260020028,0.02484698699899864,0.02484698699899864
"10","11","2","1",0.9503060260020028,0.02484698699899864,0.02484698699899864
"10","7","13","15",0.6915349833361828,0.18583853627333657,0.12262648039048077
"10","7","13","14",0.6915349833361828,0.18583853627333657,0.12262648039048077
"10","11","9","14",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","11","5","15",0.9503060260020028,0.02484698699899864,0.02484698699899864
"10","11","5","3",0.9831333423116823,0.008433328844158882,0.008433328844158882
"10","7","3","9",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","7","8","14",0.12262648039048077,0.6915349833361828,0.18583853627333657
"10","7","4","13",0.6915349833361828,0.12262648039048077,0.18583853627333657
"10","11","13","6",0.18583853627333657,0.12262648039048077,0.6915349833361828
"10","7","8","2",0.12262648039048077,0.6915349833361828,0.18583853627333657
"10","7","4","6",0.9967948008188825,0.0016025995905587353,0.0016025995905587353
"10","7","13","6",0.6915349833361828,0.18583853627333657,0.12262648039048077
"10","7","9","1",0.12262648039048077,0.6915349833361828,0.18583853627333657
"10","8","4","5",0.9993933250508698,0.00030333747456511527,0.00030333747456511527
"10","11","4","2",0.9832912908063243,0.008354354596837844,0.008354354596837844
"10","11","5","6",0.9932078063777315,0.0033960968111342157,0.0033960968111342157
"10","7","13","1",0.6915349833361828,0.18583853627333657,0.12262648039048077
"10","7","5","3",0.9920407160900796,0.003979641954960178,0.003979641954960178
"10","7","5","15",0.9765496842960053,0.011725157851997334,0.011725157851997334
"10","11","13","9",0.09041082443226305,0.02719876854940726,0.8823904070183297
